id,total_time,QL1_2_inc,QL1_2_loa,QL1_2_exp,QL2_3_inc,QL2_3_loa,QL2_3_exp,QL3_2_inc,QL3_2_loa,QL3_2_exp,QL3_3_inc,QL3_3_loa,QL3_3_exp,NW1_2_inc,NW1_2_loa,NW1_2_exp,QL2_5_inc,QL2_5_exp,NW2_3_inc,NW2_3_loa,NW2_3_exp,NW3_4_inc,NW3_4_loa,NW3_4_exp,CR1_1_inc,CR1_1_loa,CR1_1_exp,CR2_2_inc,CR2_2_loa,CR2_2_exp,engineer_id,QL2_5_loa
46,2968,0,16,"To maximize the yard's potential, we would be providing an outdoor gathering center while preserving open space for the community to walk in. Nature trails can be included in design for walking.  It will improve community attractiveness by including a rec center, and preserving the existing wetlands, respecting nature and the idea of sustainability. A wooded area at the back of the site would include wildlife refuge. The rec facility would help the community's economy by providing more job opportunities.",0,11,"Nature trails will allow for anyone to bike through, encouraging individuals to utilize those. Bike lanes can also be added on roads that are adjacent to the site and will continue and connect to the park trails. Similarly, the parking lots would not include enough parking for motorized vehicles to promote alternative transportation. ",0,14,"Because the park used to have dilapidated buildings and a park that was not widely used by the public, restoring it to a community walking place and gathering center that includes bike trails, a rec facility, and preservation of streams would keep the original character of the site but improve its overall attractiveness and beauty. The open space for gathering could promote community events to bring people together. The no-longer unused park and dilapidated buildings would not diminish the character of the infrastructure surrounding it.",0,13,"The proposed site development's main goal is to create a community walking and outdoor gathering center, which certainly values the importance of open public space. The rec facility, nature/bike trails, and wildlife habitat would benefit the public and preserve wildlife. The open space could include some pervious areas that would aid in stormwater management.",0,18,"Since there are existing wetlands on this site, including a wooded area at the back of the site would add wildlife refuge. Buffers will be included to protect these areas. The wildlife refuge would be at the back of the site so that open space is still provided for the community. The site could also be rezoned to open space, even though there will be a rec facility included.",0,"",0,18,"Some areas of the site can be grassy, to minimize impervious areas and lessen the harmful impacts of stormwater runoff (sediment collection, pollutants etc.). Other stormwater BMPs could be implemented, like rain gardens, plating more trees, etc. and would allow for stormwater to gradually seep into the ground and reduce runoff.",0,19,"Restoration of streams and wetland preservation can be done by allowing stormwater to be directed into the wetlands. This would not only aid in reducing harmful impacts of stormwater, but would help sustain the existing wetlands and wildlife. Stormwater would not have to be directed into any storm drain, which would reduce costs as well.",0,4,"By rezoning the site to open space, this would help reduce harmful environmental impacts and help reduce green house gas emissions. More reports and calculations would be needed to state whether it can achieve ""restorative."" ",0,12,"The wetlands could also utilize a sluice gate and allow them to be operated independently. Similar to the South LA Wetlands, if source water is not available, one of the wetlands can be reconfigured into a park/ open space.",75,15
47,2121,0,2,"The community growth and development can be measured in this project, but is certainly limited.This project does not include the addition of new businesses, just the park and gathering area. Jobs coming from this would include maintenance of these public spaces.",0,11,"The project's roads have a complete streets focus, which encourages multimodal road use. In addition to multimodal use of the roads, bike paths and pedestrian walkways can be implemented in the park area. Secure bike racks can also be made available throughout the site.",0,6,The project is completely community-focused with most of it geared toward community spaces. The community can have input regarding what they want to be in the area since they will be the primary users of the space and are essentially the client.,0,13,The goal of the project is completely restore the existing park/recreational area on the site. It will also restore the brownfield and re-purpose it for use as a public community gathering space. The entire purpose of this project to enhance community livability and make it usable for the public once again.,0,14,"The site includes a floodplain and wetlands as part of a stream that is in need of repair. To protect these areas, a buffer can be put in place to avoid development too close to them. It will be necessary to include at least a 300 foot buffer from the wetland, which is definitely doable.",0,"",0,9,"Because there is a stream on-site, proper monitoring of the water quality, which would include temperature data. During the design stage, measures can be incorporated prevent pollution and the degradation of the stream in the first place.",0,6,"The project will maintain the water quality of the stream on-site, by monitoring and reporting quality and temperature data. It will also maintain and enhance habitats by surveying and determining the proper mitigation measures. Having a large buffer around the area will be beneficial as well.",0,13,"By encouraging multimodal transportation and reducing the amount of vehicle use, the amount of carbon dioxide greenhouse gas emissions can easily be reduce by the minimum 40% to obtain superior for this credit.",0,2,"To obtain points for this credit, the project team simply has to provide documentation stating that they identified and assessed any possible changes. ",76,6
48,2130,0,16,"The current plan for Cordova, Alabama park redevelopment supports the local character of main street, which will improve economic growth and development capacity of the area. Attractiveness will be improved by redeveloping the brownfield, upgrading the park, and having the wild refuge in the back of the site. ",0,11,"The community park will have large sidewalks and connected bike pathways throughout. The bike paths and sidewalks will also connect to surrounding outdoor community center and main street. The project team will evaluate parking spaces needed through a traffic study, and install limited amount of parking to encourage alternative modes of transportation. ",0,14,"This project has been designed with the local community in mind and we value the community member's input. As discussed, the design of this project supports and enhances the local character of Main Street. It includes complete streets and builds upon the existing infrastructure, while enhancing the uses for the area. ",0,13,"There is a large wooded area that will act as a wildlife refuge and the community park is being enhanced/upgraded to meet community needs. The brownfield is also being remediated to create more needed public space. To be as aesthetically pleasing as possible, vegetation (non-invasive) species will be planted.",1,0,"There are no wetlands on the current area. A pond is going to be man-made to enhance the public space, but protection of current water is not needed.",0,"",0,9,Stormwater Best Management Practices will be installed to maintain runoff/recharge rates for groundwater. Monitoring and minimization of pollutants in water will be used during construction and operation.,1,0,"There are no wetlands on the current area. A pond is going to be man-made to enhance the public space, but protection of current water is not needed.",0,25,"The wildlife refuge will be a giant wooded area that will be used as a carbon sink. The project team will hire a firm to conduct a life cycle assessment of the carbon. But due to alternative modes of transportation and the carbon sink, it is predicted to be a net negative carbon project. Solar light for street lamps will also help to reduce carbon use.              ",0,20,"The project team will meet with stakeholders to design a plan to avoid traps and vulnerabilities. Long term risks will be looked at to make sure that the design of this project is environmentally, economically, and socially sustainable for long term use and viability. All potential traps will be identified before final design is completed. ",77,15
49,1468,0,16,this project will become a large and very attractive area to families looking to move into the area.  With things like plenty of green space for kids to play and plenty of walking paths for people to enjoy.  This will make the community a more attractive place to live and therefore grow it as more people settle there.,0,11,With the inclusion of bike paths the area will likely become popular for cyclists and therefore encourage this as an alternative form of transportation.  The paths will be made wide enough to accommodate both cyclists and walkers/runners in a safe manner.  We will also investigate renting paddle boats in the nearby body of water.,0,14,The landscape of the project will be impacted heavily by the community.  It will be designed to be an improvement to the natural feel of the town. Any aspects of the old landscape that were enjoyed will be kept as a way to preserve the local character of the park before the tornado.  The communities input will also be used to add new features such as native plants.,0,13,"Hiking and biking trails will be maintained.  Space permitting, various sports fields will be added based on community demand.  These will become places for kids to start baseball teams and enjoy organized sports giving the space another great purpose.   Native plants will also be placed along the water to bring back the native species.",0,18,Create a natural buffer of three-hundred feet around the wetlands of the park.  This will act as a filter to the runoff.  It will remove any contaminates that are contained in the water so that the creation of this park will not have any large negative impact on the neighboring wetlands but will actually improve its health.,0,"",0,18,"With the addtion of a buffer of three-hundred feet to the wetlands, this will also preserve the groundwater from contamination.  The root systems of these plants and grass will help to filter any dangerous contaminates from the water before it enters the ground water table.  The benefits of utilizing some sort of barrier will also be investigated.",0,6,The addition of natural plants in the buffer of the wetlands will increase the size of the habitat for the various native animals that call them home.  These plants will also filter contaminates cleaning the water in the wetlands.,0,25,This project will be one that is net carbon negative.  Very little carbon will be produced within this new park.  No vehicles will be allowed into the park other then those used by the maintenance staff.  The addition of all of the vegetation within the park including trees will filter out carbon generated by the community around it and release oxygen.,0,16,The project will be designed in order to make the life cycle costs as low as possible.  Because all of the vegitation added to the park is indigenous to that area there will be little to no maintenance required to maintain it.  The community will be kept as part of the project team so that any traps can be avoided as easily as possible.,79,15
50,6,0,16,this project will become a large and very attractive area to families looking to move into the area.  With things like plenty of green space for kids to play and plenty of walking paths for people to enjoy.  This will make the community a more attractive place to live and therefore grow it as more people settle there.,0,11,With the inclusion of bike paths the area will likely become popular for cyclists and therefore encourage this as an alternative form of transportation.  The paths will be made wide enough to accommodate both cyclists and walkers/runners in a safe manner.  We will also investigate renting paddle boats in the nearby body of water.,0,14,The landscape of the project will be impacted heavily by the community.  It will be designed to be an improvement to the natural feel of the town. Any aspects of the old landscape that were enjoyed will be kept as a way to preserve the local character of the park before the tornado.  The communities input will also be used to add new features such as native plants.,0,13,"Hiking and biking trails will be maintained.  Space permitting, various sports fields will be added based on community demand.  These will become places for kids to start baseball teams and enjoy organized sports giving the space another great purpose.   Native plants will also be placed along the water to bring back the native species.",0,18,Create a natural buffer of three-hundred feet around the wetlands of the park.  This will act as a filter to the runoff.  It will remove any contaminates that are contained in the water so that the creation of this park will not have any large negative impact on the neighboring wetlands but will actually improve its health.,0,"",0,18,"With the addtion of a buffer of three-hundred feet to the wetlands, this will also preserve the groundwater from contamination.  The root systems of these plants and grass will help to filter any dangerous contaminates from the water before it enters the ground water table.  The benefits of utilizing some sort of barrier will also be investigated.",0,6,The addition of natural plants in the buffer of the wetlands will increase the size of the habitat for the various native animals that call them home.  These plants will also filter contaminates cleaning the water in the wetlands.,0,25,This project will be one that is net carbon negative.  Very little carbon will be produced within this new park.  No vehicles will be allowed into the park other then those used by the maintenance staff.  The addition of all of the vegetation within the park including trees will filter out carbon generated by the community around it and release oxygen.,0,16,The project will be designed in order to make the life cycle costs as low as possible.  Because all of the vegitation added to the park is indigenous to that area there will be little to no maintenance required to maintain it.  The community will be kept as part of the project team so that any traps can be avoided as easily as possible.,79,15
51,1021,0,1,The project team transformed the blighted maintenance yard into a landscaped open space for the community. This improved community attractiveness provided a recreational facility to enhance the overall community.,0,1,The park includes walking and biking paths as well as bike lanes and large sidewalks adjacent to the property. To encourage alternative modes of transportation only 67 parking stalls were provided even though the traffic study estimated 170 were needed.,0,3,"The project restored the overall visual character as it transformed all nine acres of the blight maintenance yard to landscaped public space for the community. Dilapidated buildings were demolished and the views from the neighboring school, church, and surrounding homes improved.",0,6,"The project team developed wetland and riparian habitat, trails, boardwalks, and educational and public use facilities. The site minimizes discharge of pollutants from urban run-off to receiving waters.",0,9,A wetland with riparian and emergent marsh habitat was created at the center of a densely populated urban community. The project team and city changed the land use designation of the site from Light Industrial to Open Space in order to ensure the continued use of the site as a wetland park.,0,"",0,14,The project team designed for 100% collection of dry weather runoff from the regional storm drain network. All wetland cells are lined with a primary geosynthetic clay liner to form an impermeable layer that 1) prevents water loss via infiltration and 2) prevents infiltration into the former Brownfield site.,0,15,A wetland with riparian and emergent marsh habitat was created at the center of a densely populated urban community. The project is designed to divert stormwater runoff from the adjacent 63” storm drain and use the runoff as a resource to sustain the constructed wetland and its natural habitat.,0,7,"The project team converted the land use designation of the site from Light Industrial to Open Space. According to the project’s Environmental Impact Report (EIR), green house gas (GHG) emissions would be reduced following implementation of the South Los Angeles Wetland Park.",0,6,"Using sluice gates and end caps for orficies, the wetland was broken into three cells allowing them to operate independently. This flexibility provides opportunity to reconfigure the wetland in the event that source water is reduced (i.e. consider converting one of the wetlands to park).",83,6
52,368350,0,13,"The new community space will include space for local farmers to sell wares, and local property values will be increased due to proximity to the space. Accessibility to jobs will also be increased with the ""complete"" streets, allowing safer bike and walking transportation for those unable to own a car.",0,2,"The new street designs allow for motor vehicle traffic, pedestrian, and bike traffic. This will create a safer environment for those not driving cars, making people more likely to utilize alternative modes of transportation. There will also be a new bus stop added to increase bus accessibility to these spaces.",0,6,"The project, specifically the restored brownfield, will allow a space for community collaboration, which will help continue local traditions and build community relations. The damaged downtown area will also be more aesthetically pleasing and will increase the community's sense of satisfaction with the area.",0,6,"Collaborative meetings will be held with the community to identify needs and what is needed and what the community hopes to achieve with the space. New, community centric spaces are being created and will greatly enhance the quality of the downtown experience through green space and aesthetics, as well as promoting community engagement.",0,14,"A vegetation and soil protection zone will be established near all wetlands and will not disturb within 300 ft. This will be enforced with temporary ENS that is inspected weekly and has been approved by the engineer of record. Additionally, the brownfield will be remediated to reduce harmful runoff.",0,"",0,18,"The project includes remediation of the brownfield by doing further research into the potential pollutants there, and then removing them from the area. Enhanced stormwater management will be utilized, such as using pavement that allows great absorption of water. Rainwater will also be collected to be used as greywater in the public restrooms.",0,0,"",0,13,"Over 50% of materials used were recycled materials, and the former gas station (a brownfield) was converted to community space. The approximate GHG emissions were reduced by 45%, as found by the Environmental Impact Report. More efficient equipment was used to perform the work onsite as well, in an effort to reduce emissions.",0,0,"",15,6
53,1975,0,13,This project will contribute significantly to the overall productivity and attractiveness of businesses in the downtown district. Restoring recreational and culture aspects to this town's park encourages local residents and allows for quality time away from everyday life.,1,0,Multi-modial transportation is not available in this area aside from bicycle or pedestrian activities,0,14,Local character of the site has been determined and a plan devised to protect view sheds. The preservation and restoration of the floodplain and stream area has been conveyed to the construction team and proper penalties devised for noncompliance. Local policies and regulations have been put in place to help protect the park in the future,0,13,This project will significantly add to community livability through the addition of walking trails and restoring the floodplains currently damaged. Further aesthetic improvements to the park will enhance the character of the downtown district and encourage local residents to take greater pride in their city,1,0,"Due to the brownfield nature of this site, this criteria is unable to be met because excavation must occur to remove pollutants.",1,"",0,18,Potentially polluting materials such as solar battery packs have been located sufficiently away from water sources. Remediation will occur of existing pollutant sites and a protection plan has been put in place and on site monitoring will occur in planned intervals by local environmental engineers.  ,0,19,This project will enhance water quality through the removal of potential contaminants and restore hydrologic connection through altering the landscape. Sediment deposition will be minimized through sediment traps during construction the restoration of native plant species. Habitat will be restored through protecting key landscape features and the addition of once native species. ,0,25,"A comprehensive life cycle assessment was performed and it was determined that this project will sequester more carbon than the amount it outputs for completion. Due to the amount of green space and vegetation being restored and planted, the negative effects of this project will be significantly offset.",0,20,A long term assessment was devised of the communities resiliency which allowed design changes to be made. Potential traps were avoided such as including high cost stormwater filtration devices. A best practices guide was developed for the community to use in future park overhauls and the associated risks with majors decisions has been explicitly recorded.,85,0
54,4075,0,16,The project will transform an under-used park which will rehabilitate the existing infrastructure. The project will include infrastructure such as a natural amphitheater that increases the value and increases the quality of cultural and recreational capacities for the public. Recreational areas are a core of the project and they are meant to improve productivity of the community. ,0,11,The projects takes great care of rehabilitating bike paths and designing pedestrian paths to allow for bike traffic. A bus stop exists at 2 entrances of the area to encourage commuting instead of personal vehicle driving. This also minimizes parking spots required and maximizes natural acreage. The project connects to existing bike paths to increase access from outside the project seamlessly. ,0,14,Vegetation is planned to maximize the views of the wetlands and aesthetic features of the complex. Barriers are non-existent around the complex which increases aesthetic appeal of the natural landscape. The design team had extensive meeting with community leaders to asses the improvement of the views and the local character. ,0,13,The site allows for basins lined with vegetation to both decrease runoff quantity and improve runoff quality. The habitats were restored from existing infrastructure to improve community habitability. The pavilions were restored to improve recreational capabilities and a open amphitheater was built to encourage cultural events. ,0,18,"The wetlands and and floodplain were engineered with natural buffers to increase the quality of the water bodies. Specifically, grass was used to capture runoff and limit infiltration. Resilient grass species were used to allow for foot traffic without compromising the soil-binding properties of the grass roots. ",0,"",0,18,Monitoring wells were installed to monitor the quality of the groundwater. the vegetative species were specifically picked to reduce infiltration of pollutants and to minimize runoff carrying soil particles and fertilizers. The quality of the water in the wetlands is being monitored to detect pollutants and the slopes around the streams are engineered to direct the flow of the runoff away from the stream. ,0,19,The floodplains were design as containment basins lined with vegetation to improve quality and decrease quantity of runoff. The water is used to maintain the wetlands and the repaired habitat surrounding it. The quality of the water is monitored and pollutants are minimized through slope reductions so that the grass species can retain runoff and pollutants and trap them in the soil.,0,25,"Increasing foliage and vegetation, together with improving the wetlands and water bodies will increase the entrapment of carbon dioxide from the environment. Materials used during construction are locally sourced with decreases the embodied energy and the carbon footprint of the project. All lighting is solar-powered which decreases greenhouse emissions. ",0,20,"The flood plains were designed so that in the case of future weather patterns make them unnecessary, they could easily be re purposed as recreational areas. The wetlands were lined with resilient plant species that can survive even in times of drought. If the wetlands become unusable, the surrounding areas were designed to accommodate for new recreational areas.",84,15
55,1494,0,16,"This project showed the creation of new jobs, showed how the blighted maintenance yard was turned into a landscape open space for the community, provided recreation for the community, which in turn provides leisure and higher productivity, the attractiveness of the new area gives the area an overall enhancement.",0,8,"This area of quality of life achieved a conserving rating due to the site having allowing pedestrian and multi-modal access to transportation. Since only 67 parking spaces were built regardless of the 170 estimated needed, this encouraged alternate forms of transportation such has bikes and carpooling.",0,14,"This area received restorative in quality of life by keeping in mind the existing policies and putting what the community needed into the design. Unneeded buildings were demolished for safety and aesthetic reasons, made sure the new recreational area would benefit the community, and collaboration with the community occurred. ",0,3,"This area received enhanced due to designing for a minimal discharge of pollutants. The project team developed designs for wetlands and riparian habitats, educational, and public use facilities. ",1,0,"In this subject, the decision was made to exclude due to the fact that there was no information about the dimensions off the buffer. ",0,"",0,14,"In the Natural World, this category received a conserving rating. This site was designed in response to the enhancement of the maintenance yard, it provides on site monitoring, has a primary geosynthetic clay liner to prevent water loss thru infiltration and infiltration into the former site. ",0,3,"This area of Natural world received an improved rating. In the statement, a wetland riparian and emergent marsh habitat was created thus implying an improvement of ONE ecosystem.",0,7,"In regards to green house gas emissions, this was given an enhanced rating. The statement says it reduces emissions, but not a specific percentage or by how much. ",0,16,This area received a conserving rating. There was documentation illustrating the wetlands being split up into three separate cells. This was designed in order to be able to reconfigure the wetland if source water is reduced. The reconfiguration was designed in order to eliminate the risk of a trap. ,87,12
56,1730,0,16,This project is first going to increase community attractiveness by changing a brownfield site to a usable community site.  It is going to add a wildlife refuge at the back of a lot which is going to help keep wildlife sustainable.  It is also going to facilitate social interaction between community members.,0,2,"The new roads and sidewalks are going to encourage pedestrian activity.  New bike lanes could also be added to the road which would further encourage renewable transportation.  If two lanes of traffic were used, this would reduce congestion from vehicles.",0,14,"The redeveloped brownfield site and park will preserve the character of the downtown area.  This will help preserve the town preserve its identity.  As stated earlier, the new roads and sidewalks will facilitate interaction with other members of the community.  It will also help local businesses find new customers.",0,6,The new park and wildlife refuge will enhance the ability of the public to use this space.  These features will increase the desirability of living in this town which will promote economic growth for years to come.,0,9,New wetland buffers will help protect areas from future development.  They will also have a buffer around them that will prevent development within a certain boundary.  Vegetative species that are good for the environment will be used.,0,"",0,18,Soils and vegetation will be used that will help trap particles before they can contaminate surface waters.  Monitoring sights could be installed to help measure the amount of pollutants that do enter the water streams.  Another item will be a pond that is added which will help aquatic wildlife grow.,0,15,"The new features of the park and the roads will not only maintain the current surface water functions, but will improve them.  This will help keep the ecosystem restored for future generations.  As stated earlier, polluted water will also be monitored.",0,25,"Over the lifecycle of this entire project, greenhouse gas emissions will be substantially decreased.  This will help reduce global warming and the impact of Cordova residents on their community.  Ultimately, by using some greenhouse gases now to build the project, they will be extremely reduced in the future.",0,16,"Since the land will be converted mostly back to greenspace, there will be no long term traps regarding expensive operations.  The roads will need fixing eventually but this would have occurred already.  In this way, the project will be extremely cost effective for the community.",88,12
57,2364,0,16,The project included the building of a recreational facility and that creates jobs. Showed that the community wanted the yard turned into open space to enhance the community. The project restored a previous eyesore into something useful for the community. Project also gives recreational use and increases the use of the space. ,0,11,Encourages use of alternative transportation through a number of methods. They created detailed bike paths and sidewalks next to the property. By putting them close this can encourage users to see them and possibly use them. By cutting down on parking spots it encourages the user to taking alternaive methods rather than drive and not get a spot.,0,14,The old building were eye sores for the community to have to look at. By knocking them down they restored previous sight lines and give an overall more pleasant view to the community. The new open space is a better view than a maintenance yard. The project brings back local character to the area so restorative.,0,13,"Overall the site has improved. It minimized pollutants which is meaningful and restorative. They created new trails, boardwalks, facilities, wetlands, and other things where they previously did not exist. This is important to the community and can be seen as being restorative by restoring this land to something good again. ",0,18,The area was rezoned and can only be used as open space for as long as it is zoned as such so this is restorative. This creates a zone between it and the rest of the urban populated community. The space was once green and now has been returned to what it once was. Overall this marsh habit was restored. ,0,"",0,18,The project included a system to collect all possible runoff. This will cause there to be no pollution to occur while simultaneously cleaning the land. No water is lost and is made entirely useful. Infiltration has been prevented as well. The rerouting of surface water is also done by putting it into the drain network. ,0,19,The project makes use of the system by collecting all runoff and returning back into the area to keep the wetland system constructed and stable. It enhances the ecosystem that has been created. It maintains and restores the ecosystem simultaneously. The runoff is not just diverted but instead used as a resource. ,0,25,The area was turned into an open space park with wetlands and local fauna. Instead of creating carbon emissions with the former maintenance yard it now sequesters carbon. The area is a carbon sink and is therefore carbon negative. It has been designed using a life-cycle carbon assessment. Carbon negative means restorative. ,0,20,The wetland is broken into three different cells make them work independently of each other instead of as one unit. If one did fail the others would not. This makes the system very resilient. This shows detailed thought on behalf of the team by considering the worst case scenario and taking steps to mitigate the problem.  ,89,15
58,22944,0,16,"The Cordova project will not only create jobs when during construction, but will also increase jobs for maintenance workers after completion. The improved infrastructure will encourage growth of other business around the site as well over the coming years. The increased recreational facilities will help the overall quality of life.",0,2,"By building the site in a location near the center of town, the site will be in a good location for pedestrians and bikers. Adding more secure bike locks will support more alternative transportation modes.",0,14,By converting the brown field to a park it will naturally improve the character of the site. Before construction the group will ask for input from the community therefore gaining community support and allowing the community to be involved in the process.  It will also bring local character by having the community involved.,0,13,The site will be converted from a brown field to a park therefore naturally increasing community space and recreational facilities. The community involvement from before will increase the community's use of the space. The space will now be available for community activities where it used to be a gas station.,0,18,"By ensuring that there is at least a 300 foot buffer on the site and it is building up wetlands where there were none before, the site will be restorative. The site will also try to use local vegetation to help improve the habitat to what it might have once been. These buffer zones will be a place for wildlife to thrive.",0,"",0,4,The site will have storm water management to prevent contamination with water detention and retention on site. The water management will allow an area to monitor water quality.,0,19,By building up from a previous brown site the new park will restore the destroyed ecosystem and its functions. By increasing the amount of vegetative cover the site will reduce the amount of sediment transport compared to the previous development. This will also improve water quality of the development. ,0,7,The developer will conduct and a life cycle assessment to ensure the site and products used reduce greenhouse gases by ten percent compared to similar projects.,0,2,The developer will ensure there are no blatant issues with the plan before construction to ensure the community is not in hurt later on.,78,6
59,4807,0,16,"Parks provide a place for citizens to gather for citywide festivals as well as public event.  Parks are used to host weddings, company picnics, family reunions, non-profit fund raisers, and wide range of other special events. This promotes business, productivity, livability and community. Promotes the cities desirability.",0,11,"Alternative transportation systems help park units minimize resource impacts where traffic volume on existing roadway infrastructure has reached or is over capacity. These systems are important to the National Park Service and its visitors. They contribute to preserving resources, including improvements to air quality, soundscapes, and reduced auto collisions. ",0,14,"We are to preserve and enhance entrance corridors and roads that promote the rural, natural, or historic character of the community. Maintain the unique heritage and identity of designated community character.  Preserve and enhance neighborhood and community appearance.  Preserve and create open space and green ways. ",0,13,"A great urban park is a safety valve for the city, in which people living in dense urban areas can find breathing room. While a poorly planned or maintained park can a place of fear and danger, thus repelling people, business, and investment. A great square, on the other hand, can be a source of civic pride, and it can help citizens feel  better connected to their cultural and political institutions.",0,18,"Incorporating wetland protection into the local watershed planning process can help minimize impacts to wetlands and identify priority wetlands to be conserved.  During the watershed planning process, local wetlands must be inventoried, assessed, managed, and prioritized on a watershed scale rather than on a site-by-site basis.  ",0,"",0,18,"Decrease the use of toxic or hazardous raw materials. Heavy metals such as lead can do serious hard to the environment. Install groundwater monitoring services, such as leak detection and repair programs. Maintain storage tanks and pipelines to prevent future spills and leaks. Properly dispose of, handle, and transport contaminants.",0,19,Works to restore protections lost due to two controversial Supreme Court decisions.  Advocates for preventing wetland and stream destruction and pollution through strong enforcement. We will urge agencies to consider global warming and wildlife impacts when making decisions affecting our nation's waters. ,0,25,"Buying products with minimal packaging will help to reduce waste. Adding insulation to your walls and installing weather stripping or caulking around doors and windows can lower your heating costs. If you have the means to plant a tree, start digging. Trees absorb carbon dioxide and give off oxygen. A single tree will absorb approximately one ton of carbon dioxide during its lifetime. ",0,20,"You can avoid traps and vulnerabilities that could create high, long term costs and risks for the affected communities by managing budgets and collectively working to better the options and maintenance required to manage the park. The ideal situation is to hire maintenance crews to manage any detailed equipment necessary to keep the park sustainable.",91,15
60,2903,0,5," The recreational facility will create jobs during construction, maintenance, and operation. As long as the facility is maintained it will last forever. It increases the capacity of the area when converting it from maintenance yard to recreational facility.",0,11,"Walking and biking paths were built near the wetlands. The park only has 67 parking stalls for cars. By limiting the amount of parking stalls, they are encouraging people to use the walking or biking paths to move around the wetlands.",0,1,The project restores the visual character by transforming the nine acres of maintenance yard into landscaped public space.,0,6,The project created a new public space such as educational and public use facilities. The site also minimizes discharge of pollutants from urban run-off to receiving water so it is a sensitive design. ,1,0,A VSPZ zone was not established and there is no indication that there is a 50- foot buffer.,0,"",0,9,100% of dry weather runoff will be collected so runoff is monitored and minimized. Water loss is prevented through a geosynthetic clay liner so the project is designed for prevention. The project also prevents infiltration into the former Brownfield site.,0,3,The stormwater is diverted and is used as runoff for the wetland and natural habitat. The wetland is maintained by the stormwater and is put to good use.,0,4,Green house gas emissions are reduced but there is not a percentage given. By changing the designation to Open Space they have given it a life-cycle carbon assessment.,0,12,"Using sluice gates and end caps, the project is preparing for the future risk, such as when source water is reduced because of climate change in the future. This is a vulnerability that needs to be assessed for the future of this wetland. ",92,6
61,281177,0,13,"The project team should promote family-friendly businesses around the project site. These businesses will promote local job growth and local development. Family-friendly businesses will also attract more people, supporting local economies and promoting livability.",0,11,"To encourage alternative modes of transportation, the site can include aesthetically pleasing bike routes. These bike routes will attract and encourage civilians to utilize bikes/walking to take full advantage of the paths. This may encourage civilians to use their bikes elsewhere as well.
There should also be sufficient bike racks to provide security.",0,14,"To preserve local character, the project site should have indigenous plant species. Also, the landscape architecture should have a similar 'feel' to surrounding buildings and infrastructure. Finally, the site should not have any tall standing structures that will serve as obstructions to views of existing structures.",0,6,The site should should have a balanced amount of land reserved for wildlife and recreational activities. A balance between the two will create attractiveness to the site and therefore enhance livability.,0,14,"In order to ensure the protection of surface water, the project team should set boundaries around the waterbodies. These boundaries should serve as restrictions to civilians. Efforts should also be made to restore riparian zones and other crucial buffers. ",0,"",0,18,"To preserve freshwater resources, the local use of fertilizers should be minimized or removed to prevent eutrophication. Local geotechnical surveys should be conducted to ensure the absence of buried waste. Finally, some sort of impermeable layer should be implemented around water resources to prevent losses and pollutant infiltration.",0,9,"To maintain waterbody functions, the project team should build a water collection habitat. This natural-like habitat will serve to replenish surrounding ecosystems and waterbodies during times of water shortage. ",0,18,"An assessment involving quantifying plant life and photosynthetic activity should be conducted to establish a baseline. Extra vegetation should be planted if net greenhouse gas emissions are higher than desired. Also, during construction, clean energy should be used whenever possible.",0,20,"To ensure the safety of civilians and the community, proper park protection must be implemented. Railing/fencing should surround waterbodies that are off limits to protect pedestrians and wildlife. All orifices should be properly capped when appropriate. Clear limits should be emphasized over where pedestrians can go and where they cannot.",21,15
62,2298,0,16,The unused park and brownfield site was transformed into a beautiful park for the community. This is one of the most important areas because growing in a green way encourages the whole city to become just as beautiful. The original site of this redevelopment is distracting and the new site will feel natural.,0,8,The redevelopment would have a big parking lot but still a bike lane that is separate and accompanies the walk lane. Bike racks could also be placed in various locations in the park so that pedestrians are encouraged to bike here and be able to easily drop their bike off at any corner of the park.,0,14,The surrounding neighborhood is now able to shine because of this redevelopment. The greening of the area and the demolishing of unnecessary structures creates a more attractive location. The buildings around the park will now be able to be seen properly. The park is now lush green which creates a big impact on the daily person who lives around.,0,6,Wildlife would be balanced so that not too many dangerous animals could interact with humans. The site will discharge pollutants in a safe and effective way. The public space will have zones of meeting which increase interactivity.,0,9,The site could maintain the wetlands that are naturally existent and build around these areas. Wetlands would not be created but instead preserved. This will have a big impact because the natural environment will be minimally changed.,0,"",0,9,Infiltration would be controlled by creating structures that funnel contaminating pollutants away from sensitive areas and into a nice treatment plant. This has a big effect because the long term effect of pollutants will lose the clean look of the development.,0,15,Natural habitats would be protected by creating storm water runoffs that do not change the flow of water but rather flow alongside it. The natural water bodies are very sensitive and altering the environment could lead to long term problems such as drainage and foundation.,0,25,"Green house gases are critical in causing global warming. Global warming may seem like a long term threat, but it is important to help the future generation. Reducing green house gases is best done through minimal building. The park would be as natural as possible so that less construction could be done in the short and long term.",0,20,Traps could be avoided by trying to change less. Changing drastically could create a great return or a great loss. If the changes are minimal the risk is reduced and the community is at more ease. Therefore the best method is to strip everything down to its natural environment and fertilize whats there and build where its convenient.,93,12
